"","mode","pre.weight","post.weight","pay.attention.politics","interest.campaigns","voted.primary","primary.vote.choice","already.voted","vote.choice","vote.intention","voted.2016","vote.choice.2016","vote.choice.2012","country.right.track","approve.congress","approve.president","approve.president.covid","therm.biden","therm.trump","therm.dem","therm.rep","ideology7","ideology.biden","ideology.trump","ideology.dem","ideology.rep","vote.duty.choice","party.id","trust.in.people","religion","how.often.religion","age","education","weeks.worked","race","gender","income","know1","know2","know3","know4","knowledge.quiz"
"25","web",4.47398522948951,5.80953914475628,"Always","Very much interested","No",NA,"No",NA,NA,"No",NA,NA,"No","Approve strongly","Disapprove strongly","Disapprove strongly",0,15,60,15,NA,"Liberal","Conservative","Extremely liberal","Extremely conservative","Mainly choice","Not strong Democrat","Most of the time","Roman Catholic",NA,59,"Less than high school",NA,"Hispanic","Female",30,0,0,1,0,1
"26","web",0.746537883621775,0.609708082236748,"Most of the time",NA,"Yes",NA,"No","Biden",NA,NA,"Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",85,0,80,15,"Liberal","Slightly liberal","Extremely conservative","Slightly liberal","Conservative","Mainly choice","Strong Democrat","Most of the time","Mainline Protestant",NA,73,"BA",NA,"White, non-Hispanic","Male",25,1,1,1,1,4
"27","web",0.793964945723105,0.734375412466689,"About half of the time","Very much interested","No",NA,"No","Trump",NA,NA,"Clinton",NA,"No","Approve not strongly","Approve strongly","Approve strongly",0,100,20,100,NA,"Moderate; middle of the road","Conservative","Liberal","Conservative",NA,"Lean Republican","Most of the time","Undifferentiated Protestant","Every week",72,"Less than high school",NA,"White, non-Hispanic","Female",25,1,0,1,0,2
"28","web",0.890362830442194,0.906416910914763,"Some of the time",NA,"No",NA,"No","Trump",NA,NA,NA,"Romney","Yes","Disapprove strongly","Approve not strongly","Dissaprove not strongly",50,60,40,50,"Slightly conservative","Liberal","Conservative","Extremely liberal","Extremely conservative","Mainly choice","Lean Republican","About hald the time","Roman Catholic",NA,50,"BA",NA,"White, non-Hispanic","Male",150,0,0,1,1,2
"29","web",0.788467191343694,0.645981762018704,"Always","Very much interested","No",NA,"No","Biden",NA,"Yes","Other","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",70,NA,60,0,"Slightly conservative","Moderate; middle of the road","Extremely conservative","Slightly liberal","Extremely conservative","Mainly duty","Not strong Republican","Most of the time","Roman Catholic",NA,66,NA,42,"White, non-Hispanic","Male",250,1,1,1,1,4
"30","web",1.41500108933574,1.47686147985125,"About half of the time",NA,"Yes",NA,"No","Biden",NA,NA,"Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",70,0,60,30,"Moderate; middle of the road","Moderate; middle of the road","Extremely conservative","Liberal","Extremely conservative","Mainly duty","Strong Democrat","Some of the time","Not religious",NA,41,"High school",NA,"Hispanic","Male",80,0,0,0,1,1
"31","web",0.743626536900714,1.03552120123171,"Some of the time",NA,"No",NA,"No","Trump",NA,NA,"Trump","Obama","Yes","Disapprove strongly","Approve strongly","Disapprove strongly",0,85,0,0,NA,"Extremely liberal","Slightly liberal","Moderate; middle of the road","Moderate; middle of the road",NA,"Independent","Never","Other Christian","A few times a year",52,"High school",NA,"Asian/Hawaiian/Pacific-Islander","Female",5,NA,NA,NA,NA,NA
"32","web",0.855812761403972,1.24082679469705,"Most of the time",NA,"No",NA,"No",NA,NA,"No",NA,NA,"No","Disapprove strongly","Disapprove strongly","Disapprove strongly",0,0,0,0,"Moderate; middle of the road","Conservative","Conservative","Conservative","Conservative",NA,"Independent","About hald the time",NA,NA,45,"Less than BA",50,"Native American","Male",70,0,0,1,0,1
"33","web",0.249378142298533,0.207172388945155,"Always","Very much interested","Yes",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",85,0,70,15,"Liberal","Slightly liberal","Extremely conservative","Liberal","Extremely conservative","Mainly duty","Strong Democrat","Most of the time","Mainline Protestant",NA,46,NA,NA,"White, non-Hispanic","Female",20,1,1,1,1,4
"34","web",0.620277372141122,0.541301179983712,"Most of the time","Very much interested","Yes",NA,"No","Trump",NA,"Yes","Trump","Romney","Yes","Disapprove strongly","Approve strongly","Approve strongly",0,100,0,70,"Conservative","Liberal","Conservative","Extremely liberal","Slightly conservative","Mainly duty","Strong Republican","Most of the time","Mainline Protestant","A few times a year",66,"BA",NA,"White, non-Hispanic","Male",150,1,1,1,1,4
"35","web",1.12376264793483,1.0980220445749,"Most of the time","Very much interested","No",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",85,0,60,15,"Liberal","Liberal","Extremely conservative","Liberal","Conservative",NA,"Not strong Democrat","Most of the time","Roman Catholic","A few times a year",60,NA,48,"White, non-Hispanic","Female",150,1,0,1,1,3
"36","web",0.787241934333145,0.642781102348334,"Some of the time",NA,"No",NA,"No","Trump",NA,"Yes","Trump","Romney","Yes","Approve not strongly","Approve strongly","Approve strongly",0,85,0,85,NA,"Slightly conservative","Slightly conservative","Extremely liberal","Slightly conservative",NA,"Strong Republican","Most of the time","Mainline Protestant","A few times a year",73,"BA",NA,"White, non-Hispanic","Female",50,0,0,0,0,0
"37","web",1.25425429894021,0.876708205173131,"About half of the time","Very much interested","No",NA,"No",NA,NA,NA,NA,"Obama","No",NA,"Disapprove strongly","Disapprove strongly",60,15,60,40,NA,"Slightly conservative","Slightly conservative","Liberal",NA,"Mainly choice","Strong Democrat","About hald the time","Evangelical Protestant","Every week",71,"Less than BA",NA,"Black, non-Hispanic","Female",45,0,0,0,0,0
"38","web",0.906734619149226,0.776852705747462,"Most of the time",NA,"No",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",40,0,40,10,"Extremely liberal","Slightly liberal","Slightly conservative","Slightly liberal","Conservative","Mainly duty","Lean Democrat","About hald the time","Not religious",NA,28,NA,12,"White, non-Hispanic","Female",15,0,1,1,1,3
"39","web",0.636937050188872,0.480050650683872,"Always","Very much interested","No",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",85,0,85,0,"Extremely liberal","Liberal","Extremely conservative","Slightly liberal","Extremely conservative",NA,"Strong Democrat","Most of the time","Not religious",NA,73,NA,NA,"White, non-Hispanic","Female",40,1,1,1,1,4
"40","web",0.495365787236377,0.373316602413687,"Always","Very much interested","Yes",NA,"No","Trump",NA,NA,"Trump","Romney","Yes","Disapprove strongly","Approve strongly","Approve strongly",0,100,0,60,"Conservative","Extremely liberal","Slightly conservative","Extremely liberal","Slightly conservative",NA,"Strong Republican","Most of the time","Mainline Protestant",NA,NA,"BA",NA,"White, non-Hispanic","Male",NA,1,1,1,1,4
"41","web",0.462153603329595,0.524077502362527,"Some of the time",NA,"No",NA,"No","Trump",NA,"No",NA,"Romney","No","Dissaprove not strongly","Approve not strongly","Dissaprove not strongly",15,70,30,85,"Conservative","Liberal","Slightly conservative","Liberal","Conservative","Mainly duty","Strong Republican","Most of the time","Undifferentiated Protestant","Almost every week",37,"BA",NA,"White, non-Hispanic","Female",125,1,0,0,0,1
"42","web",0.437801400169371,0.364906512334059,"About half of the time",NA,"Yes",NA,"No","Biden",NA,NA,"Clinton","Obama","No","Dissaprove not strongly","Disapprove strongly","Disapprove strongly",80,5,78,NA,"Moderate; middle of the road","Liberal","Conservative","Extremely liberal","Extremely conservative","Mainly choice","Strong Democrat","Most of the time","Mainline Protestant","Every week",56,"Less than BA",12,"Black, non-Hispanic","Female",20,0,0,1,1,2
"43","web",0.66320240246696,0.630983449532453,"Always","Very much interested","No",NA,"No","Trump",NA,"Yes","Trump","Romney","Yes","Disapprove strongly","Approve strongly","Approve strongly",0,100,0,15,"Extremely conservative","Extremely liberal","Slightly conservative","Extremely liberal","Slightly liberal","Mainly duty","Strong Republican","Some of the time","Undifferentiated Protestant",NA,48,NA,NA,"White, non-Hispanic","Male",50,1,1,0,0,2
"44","web",0.656590175237121,0.644167378141637,"Always","Very much interested","No",NA,"No","Trump",NA,"Yes","Trump","Romney","Yes","Approve strongly","Approve strongly","Approve strongly",0,98,10,95,"Extremely conservative","Extremely liberal","Extremely conservative","Liberal","Conservative","Mainly duty","Strong Republican","Some of the time","Evangelical Protestant",NA,53,"BA",NA,"White, non-Hispanic","Female",125,1,0,0,1,2
"45","web",0.87475696960029,0.931300250695248,"About half of the time",NA,"No",NA,"No","Trump",NA,"Yes","Other","Other","No","Disapprove strongly","Approve strongly","Approve strongly",50,85,40,85,"Slightly liberal","Extremely liberal","Moderate; middle of the road","Liberal","Moderate; middle of the road","Mainly choice","Lean Republican","Most of the time","Not religious",NA,72,"Less than BA",NA,"White, non-Hispanic","Female",250,0,0,1,0,1
"46","web",0.250010024620447,0.242525438675044,"Most of the time",NA,"Yes",NA,"Yes","Trump",NA,"Yes","Trump","Romney","Yes","Disapprove strongly","Approve strongly","Approve strongly",0,100,0,100,"Conservative","Extremely liberal","Extremely conservative","Liberal","Conservative",NA,"Strong Republican","About hald the time","Mainline Protestant","Never",55,"High school",NA,"White, non-Hispanic","Male",5,0,0,1,1,2
"47","web",1.09084253615316,0.921854113170443,"Always","Very much interested","Yes",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",85,0,85,0,"Liberal","Liberal","Extremely conservative","Liberal","Extremely conservative",NA,"Strong Democrat","Some of the time","Roman Catholic","Every week",79,"Less than BA",NA,"White, non-Hispanic","Male",50,0,1,1,1,3
"48","web",0.633954468249444,0.677811863374512,"Most of the time",NA,"Yes",NA,"No","Biden",NA,NA,"Clinton","Obama","No","Dissaprove not strongly","Disapprove strongly","Disapprove strongly",75,0,80,0,"Slightly liberal","Slightly liberal","Slightly conservative","Slightly liberal","Slightly conservative",NA,"Lean Democrat","Most of the time","Not religious",NA,38,"BA",NA,"White, non-Hispanic","Male",175,1,1,1,1,4
"49","web",0.3148045870767,0.320813808755233,"About half of the time",NA,"Yes",NA,"No","Trump",NA,NA,"Trump",NA,"Yes","Approve not strongly","Approve strongly","Approve not strongly",15,80,20,100,"Moderate; middle of the road","Moderate; middle of the road","Moderate; middle of the road","Moderate; middle of the road","Slightly conservative",NA,"Strong Republican","Most of the time","Undifferentiated Protestant","Every week",42,"BA",NA,"Asian/Hawaiian/Pacific-Islander","Female",65,0,1,1,1,3
"50","web",0.455757491974038,0.368948993952936,"Always","Very much interested","Yes",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Approve strongly","Disapprove strongly","Disapprove strongly",100,0,70,30,"Conservative","Slightly conservative","Extremely conservative","Moderate; middle of the road","Conservative","Mainly duty","Lean Democrat","Most of the time","Roman Catholic","A few times a year",70,NA,NA,"White, non-Hispanic","Male",80,0,1,1,1,3
"51","web",0.957860693636695,0.693179172080342,"Most of the time","Very much interested","Yes",NA,"Yes","Biden",NA,NA,"Clinton","Obama","No","Dissaprove not strongly","Disapprove strongly","Disapprove strongly",100,15,100,70,"Moderate; middle of the road","Conservative","Slightly conservative","Moderate; middle of the road","Slightly liberal","Mainly duty","Strong Democrat","About hald the time","Other Christian","Every week",50,"Less than BA",NA,"Native American","Female",NA,0,1,0,1,2
"52","web",0.344222456548883,0.262082586988751,"Always","Very much interested","Yes",NA,"No","Biden",NA,NA,"Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",100,0,80,0,"Liberal","Slightly liberal","Conservative","Slightly liberal","Extremely conservative","Mainly duty","Strong Democrat","Most of the time","Other religion",NA,50,NA,NA,"Black, non-Hispanic","Female",NA,0,1,1,1,3
"53","web",1.36259893513825,NA,"About half of the time",NA,"Yes",NA,"Yes","Biden",NA,NA,"Clinton","Romney","Yes","Approve not strongly","Approve strongly","Approve strongly",100,85,50,50,"Moderate; middle of the road","Conservative","Liberal","Extremely liberal","Extremely conservative",NA,"Independent","Some of the time","Evangelical Protestant","A few times a year",27,"Less than high school",NA,"White, non-Hispanic","Female",5,0,0,1,1,2
"54","web",1.36179614885022,1.68129338717785,"Most of the time",NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Disapprove strongly","Approve strongly","Approve strongly",0,100,0,70,NA,"Moderate; middle of the road","Moderate; middle of the road","Moderate; middle of the road","Moderate; middle of the road","Neither duty or choice","Strong Republican","About hald the time","Evangelical Protestant","Every week",62,"High school",NA,"White, non-Hispanic","Male",5,1,1,1,1,4
"55","web",1.185891215455,1.01067733410734,"Most of the time","Very much interested","Yes",NA,"No","Jorgensen",NA,"Yes","Trump","Romney","Yes","Disapprove strongly","Approve strongly","Approve strongly",0,85,0,70,"Moderate; middle of the road","Extremely liberal","Conservative","Extremely liberal","Conservative",NA,"Independent","Most of the time","Roman Catholic","Every week",51,"Less than BA",NA,NA,"Female",NA,1,0,1,1,3
"56","web",4.00935106649621,NA,"Most of the time",NA,"Yes",NA,"No","Trump",NA,"Yes","Trump","Romney","Yes","Disapprove strongly","Approve strongly","Approve strongly",30,85,40,70,"Conservative","Liberal","Slightly conservative","Liberal","Slightly conservative",NA,"Strong Republican","Some of the time","Mainline Protestant",NA,60,"Less than BA",26,"White, non-Hispanic","Male",80,1,1,1,1,4
"57","web",0.279211236116503,0.22250919332164,"Always","Very much interested","Yes",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Dissaprove not strongly","Disapprove strongly","Disapprove strongly",75,15,70,45,"Slightly liberal","Liberal","Conservative","Liberal","Conservative",NA,"Strong Democrat","Most of the time","Roman Catholic","Every week",65,NA,44,"White, non-Hispanic","Female",45,1,0,0,1,2
"58","web",0.552267841129152,0.572441482600485,"Always","Very much interested","Yes",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",85,0,70,15,"Slightly liberal","Slightly liberal","Extremely conservative","Slightly liberal","Extremely conservative","Mainly choice","Lean Democrat","About hald the time","Jewish","A few times a year",NA,NA,NA,"White, non-Hispanic","Male",175,1,0,1,1,3
"59","web",1.51528676776706,1.41210251960401,"About half of the time",NA,"No",NA,"No","Biden",NA,"No",NA,"Romney","No","Approve not strongly","Disapprove strongly","Disapprove strongly",60,30,40,70,"Moderate; middle of the road","Liberal","Moderate; middle of the road","Slightly conservative","Liberal",NA,"Not strong Republican","Some of the time","Not religious","A few times a year",48,"High school",NA,"White, non-Hispanic","Male",45,0,0,0,0,0
"60","web",0.716536399907542,0.800474147375002,"Most of the time",NA,"Yes",NA,"No","Trump",NA,"Yes","Trump","Romney","No","Approve not strongly","Approve strongly","Approve not strongly",15,85,15,85,"Conservative","Extremely liberal","Conservative","Extremely liberal","Conservative",NA,"Lean Republican","About hald the time","Evangelical Protestant",NA,55,"High school",NA,"White, non-Hispanic","Male",70,0,1,0,0,1
"61","web",0.894797005124884,0.93679365224862,"Most of the time",NA,"No",NA,"No","Biden",NA,NA,NA,NA,"No","Disapprove strongly","Disapprove strongly","Disapprove strongly",50,30,30,30,"Slightly conservative","Moderate; middle of the road","Slightly conservative","Slightly liberal","Slightly conservative","Mainly choice","Independent","Most of the time","Roman Catholic","Once or twice a month",54,"BA",NA,"White, non-Hispanic","Male",125,0,0,1,1,2
"62","web",0.64496521316527,0.903497008132673,"Some of the time",NA,"No",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Dissaprove not strongly","Disapprove strongly","Disapprove strongly",40,15,60,30,"Moderate; middle of the road","Extremely liberal","Extremely conservative","Extremely liberal","Extremely conservative","Neither duty or choice","Not strong Democrat","Some of the time","Not religious",NA,38,NA,NA,"White, non-Hispanic","Female",70,0,0,0,1,1
"63","web",0.666958417550415,0.543962415317593,"Always","Very much interested","Yes",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",100,0,70,0,"Liberal","Liberal","Conservative","Liberal","Extremely conservative",NA,"Strong Democrat","Most of the time","Roman Catholic","Every week",80,NA,NA,"White, non-Hispanic","Male",50,1,1,1,1,4
"64","web",0.322147439501118,0.327355720105364,"Most of the time","Very much interested","No",NA,"No","Biden",NA,"No",NA,NA,"No","Disapprove strongly","Disapprove strongly","Disapprove strongly",85,0,70,15,"Liberal","Slightly liberal","Liberal","Slightly liberal","Extremely conservative","Mainly duty","Not strong Democrat","About hald the time","Not religious",NA,37,NA,8,"Multiple races, non-Hispanic","Female",80,1,1,1,1,4
"65","web",0.329839590031113,0.347911382708054,"Always",NA,"No",NA,"No","Biden",NA,NA,"Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",40,15,50,30,"Liberal","Moderate; middle of the road","Conservative","Moderate; middle of the road","Extremely conservative",NA,"Lean Democrat","Most of the time","Roman Catholic",NA,38,"BA",NA,"White, non-Hispanic","Male",250,1,1,1,1,4
"66","web",0.709118783836395,0.75439881560547,"Always","Very much interested","Yes",NA,"No","Biden",NA,NA,"Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",100,0,0,85,"Moderate; middle of the road","Moderate; middle of the road","Extremely liberal","Moderate; middle of the road","Slightly conservative",NA,"Lean Republican","About hald the time","Evangelical Protestant",NA,60,"Less than BA",NA,"White, non-Hispanic","Male",60,0,0,0,0,0
"67","web",1.32476122626383,1.40326350551124,"About half of the time",NA,"No",NA,"No","Biden",NA,"No",NA,NA,"No","Disapprove strongly","Disapprove strongly","Disapprove strongly",100,0,85,0,"Slightly conservative","Moderate; middle of the road","Extremely liberal","Slightly liberal","Slightly conservative",NA,"Lean Democrat","About hald the time","Other Christian","Once or twice a month",46,"Less than BA",22,"Multiple races, non-Hispanic","Male",75,0,0,1,1,2
