"","Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_STUSAB","Geo_SUMLEV","Geo_GEOCOMP","Geo_FILEID","Geo_LOGRECNO","Geo_US","Geo_REGION","Geo_DIVISION","Geo_STATECE","Geo_STATE","Geo_COUNTY","Geo_COUSUB","Geo_PLACE","Geo_PLACESE","Geo_TRACT","Geo_BLKGRP","Geo_CONCIT","Geo_AIANHH","Geo_AIANHHFP","Geo_AIHHTLI","Geo_AITSCE","Geo_AITS","Geo_ANRC","Geo_CBSA","Geo_CSA","Geo_METDIV","Geo_MACC","Geo_MEMI","Geo_NECTA","Geo_CNECTA","Geo_NECTADIV","Geo_UA","Geo_UACP","Geo_CDCURR","Geo_SLDU","Geo_SLDL","Geo_VTD","Geo_ZCTA3","Geo_ZCTA5","Geo_SUBMCD","Geo_SDELM","Geo_SDSEC","Geo_SDUNI","Geo_UR","Geo_PCI","Geo_TAZ","Geo_UGA","Geo_BTTR","Geo_BTBG","Geo_PUMA5","Geo_PUMA1","SE_A00001_001","SE_A00002_001","SE_A00002_002","SE_A00002_003","SE_A01001_001","SE_A01001_002","SE_A01001_003","SE_A01001_004","SE_A01001_005","SE_A01001_006","SE_A01001_007","SE_A01001_008","SE_A01001_009","SE_A01001_010","SE_A01001_011","SE_A01001_012","SE_A01001_013","SE_A03001_001","SE_A03001_002","SE_A03001_003","SE_A03001_004","SE_A03001_005","SE_A03001_006","SE_A03001_007","SE_A03001_008","SE_A12001_001","SE_A12001_002","SE_A12001_003","SE_A12001_004","SE_A12001_005","SE_A12001_006","SE_A12001_007","SE_A12001_008","SE_A17005_001","SE_A17005_002","SE_A17005_003","SE_A14006_001","SE_A14028_001","SE_A18009_001","SE_A13003A_001","SE_A13003A_002","SE_A13003A_003","SE_A13003B_001","SE_A13003B_002","SE_A13003B_003","SE_A09005_001","SE_A09005_002","SE_A09005_009","SE_A09005_010","SE_A09005_003","SE_A09005_004","SE_A09005_005","SE_A09005_006","SE_A09005_007","SE_A09005_008","SE_A09003_001","SE_A20001_001","SE_A20001_002","SE_A20001_003","SE_A20001_004","SE_A20001_005"
"11",1021,"05000US01021","Chilton County","Chilton County, Alabama","al",50,0,"ACSSF",23,NA,NA,NA,NA,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43930,43930,63.40464,692.851494292638,43930,2767,3103,2869,1908,3490,5829,5608,5656,5773,4136,2189,602,43930,36599,4148,123,190,0,1858,1012,29793,5302,13125,7147,2728,1120,267,104,18836,17500,1336,45182,0.4845,684,10298,2309,7989,26176,4877,21299,17207,16529,14379,2150,0,0,0,77,172,429,33,43609,6176,37433,16253,27173
"12",1023,"05000US01023","Choctaw County","Choctaw County, Alabama","al",50,0,"ACSSF",24,NA,NA,NA,NA,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13075,13075,14.31359,913.467484791435,13075,671,707,760,512,989,1326,1446,1806,1974,1647,942,295,13075,7420,5590,9,13,0,8,35,9436,1754,3606,2851,770,376,38,41,4768,4264,504,34884,0.4809,533,2632,996,1636,7425,1567,5858,4128,3926,3391,535,0,0,4,60,62,76,32,12945,1481,11464,6175,7564
"13",1025,"05000US01025","Clarke County","Clarke County, Alabama","al",50,0,"ACSSF",25,NA,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24387,24387,19.69202,1238.42046526856,24387,1364,1375,1591,1059,2128,2593,2921,3317,3413,2575,1586,465,24387,12935,11173,25,123,0,0,131,16870,3175,7372,4205,1342,599,99,78,8930,7647,1283,36127,0.5185,561,5282,1601,3681,14211,3776,10435,7529,7342,6647,695,11,0,9,49,44,74,24,24098,2594,21504,11320,13755
"14",1027,"05000US01027","Clay County","Clay County, Alabama","al",50,0,"ACSSF",26,NA,NA,NA,NA,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13378,13378,22.15044,603.961012946778,13378,670,651,997,501,1274,1194,1654,1824,1961,1544,859,249,13378,11106,1977,155,18,0,26,96,9285,2275,3366,2700,510,354,58,22,5920,5542,378,41225,0.4684,564,2731,620,2111,7840,1410,6430,5427,5179,4879,300,0,0,0,40,31,177,29,13128,1340,11788,5571,8451
"15",1029,"05000US01029","Cleburne County","Cleburne County, Alabama","al",50,0,"ACSSF",27,NA,NA,NA,NA,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14938,14938,26.67002,560.104500870274,14938,821,1055,962,600,1055,1706,1824,2110,2002,1618,773,412,14938,14068,393,39,3,0,126,309,10445,2364,4135,2518,927,335,130,36,6086,5628,458,40188,0.4622,575,3315,1017,2298,8623,1361,7262,5355,5128,4357,771,1,0,0,40,8,178,33,14760,1886,12874,5976,9112
"16",1031,"05000US01031","Coffee County","Coffee County, Alabama","al",50,0,"ACSSF",28,NA,NA,NA,NA,1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51288,51288,75.53616,678.986114221379,51288,3178,3251,3588,2144,4215,6474,6764,6837,6462,4861,2608,906,51288,38923,8829,617,666,0,644,1609,34912,4833,9723,12181,5439,2225,310,201,23096,21725,1371,53155,0.4427,782,11938,2887,9051,30467,3999,26468,22274,21132,19289,1843,0,82,85,191,192,592,22,49581,5004,44577,18897,34324
"17",1033,"05000US01033","Colbert County","Colbert County, Alabama","al",50,0,"ACSSF",29,NA,NA,NA,NA,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54495,54495,91.93668,592.744948625245,54495,3098,3272,3189,2049,4249,6496,6536,7395,7709,6003,3283,1216,54495,43288,8615,367,267,29,723,1206,38638,6016,13927,11459,4573,2141,381,141,23833,22436,1397,47558,0.4496,691,11509,2720,8789,32212,4941,27271,22074,21327,19914,1413,33,23,0,107,123,461,23,54038,4353,49685,20614,37462
"18",1035,"05000US01035","Conecuh County","Conecuh County, Alabama","al",50,0,"ACSSF",30,NA,NA,NA,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12514,12514,14.71889,850.200004015463,12514,715,894,572,470,1015,1288,1351,1601,1901,1634,761,312,12514,6369,5971,56,18,0,2,98,8848,1703,4315,1881,632,233,29,55,4397,3892,505,33177,0.4354,568,2563,789,1774,7111,1531,5580,3876,3719,3467,252,8,0,21,33,3,92,25,12469,1804,10665,5484,6805
"19",1037,"05000US01037","Coosa County","Coosa County, Alabama","al",50,0,"ACSSF",31,NA,NA,NA,NA,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10855,10855,16.67664,650.910642057029,10855,342,432,722,354,775,1158,1261,1546,1897,1350,817,201,10855,7133,3713,9,0,0,0,0,8230,1675,3178,2424,706,226,21,0,4363,4110,253,38301,0.4646,554,1837,448,1389,6286,741,5545,3995,3716,3355,361,18,0,0,62,22,177,29,10465,812,9653,4851,6709
"20",1039,"05000US01039","Covington County","Covington County, Alabama","al",50,0,"ACSSF",32,NA,NA,NA,NA,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37351,37351,36.24353,1030.55649678686,37351,2142,2496,2138,1414,2723,4294,4098,4895,5501,4230,2558,862,37351,31624,4826,58,159,13,70,601,26438,4530,9368,8588,2539,1063,257,93,16327,14899,1428,40601,0.4553,608,7969,2149,5820,21229,3708,17521,14709,14058,12874,1184,13,30,28,153,191,236,25,36786,4116,32670,14408,23544
"21",1041,"05000US01041","Crenshaw County","Crenshaw County, Alabama","al",50,0,"ACSSF",33,NA,NA,NA,NA,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13865,13865,22.77188,608.864918293058,13865,787,868,925,536,1074,1567,1742,1826,1998,1535,696,311,13865,9938,3198,109,188,0,146,286,9675,2091,3753,2326,1100,348,35,22,5959,5612,347,39812,0.504,518,3074,631,2443,8184,1235,6949,5561,5148,4545,603,30,3,5,97,42,236,28,13656,1360,12296,5499,8864
"22",1043,"05000US01043","Cullman County","Cullman County, Alabama","al",50,0,"ACSSF",34,NA,NA,NA,NA,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82313,82313,112.0239,734.780633732666,82313,4979,4736,5596,3261,6529,10166,10178,11013,11052,8756,4946,1101,82313,78392,998,348,334,3,793,1445,57212,10405,20382,18559,5047,2076,572,171,34906,33003,1903,42558,0.4548,685,18253,3618,14635,48298,7755,40543,32668,31631,28607,3024,34,7,8,194,110,684,26,81446,9631,71815,30468,51883
"23",1045,"05000US01045","Dale County","Dale County, Alabama","al",50,0,"ACSSF",35,NA,NA,NA,NA,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49255,49255,87.78279,561.100879231873,49255,3231,3162,3148,1965,4367,7126,5816,6153,6348,4579,2496,864,49255,35889,9749,377,633,4,947,1656,33382,4732,10924,12036,3739,1548,263,140,19763,18025,1738,45960,0.45,725,11339,2947,8392,28783,5040,23743,20088,18648,17211,1437,89,27,38,532,149,605,21,46406,5274,41132,19029,30252
"24",1047,"05000US01047","Dallas County","Dallas County, Alabama","al",50,0,"ACSSF",36,NA,NA,NA,NA,1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40029,40029,40.89859,978.738001874912,40029,2477,2842,2682,1779,3649,4674,4455,4935,5831,3993,2182,530,40029,11257,28210,10,224,23,25,280,26600,5135,9368,8076,2300,1362,263,96,16201,14295,1906,31602,0.4885,623,9551,4518,5033,23280,6595,16685,13991,13369,12085,1284,0,0,34,203,182,203,22,39749,4765,34984,19993,19501
"25",1049,"05000US01049","DeKalb County","DeKalb County, Alabama","al",50,0,"ACSSF",37,NA,NA,NA,NA,1,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71200,71200,91.62285,777.098766480771,71200,4251,4916,5151,3162,5844,8592,9017,9396,9252,7047,3533,1039,71200,60972,1004,934,140,621,5899,1630,47876,12394,15956,13441,3557,1822,433,273,29988,28637,1351,39233,0.4748,619,17242,5557,11685,41746,8594,33152,28264,27127,24212,2915,15,40,9,269,67,737,24,70443,10231,60212,28734,40587
"26",1051,"05000US01051","Elmore County","Elmore County, Alabama","al",50,0,"ACSSF",38,NA,NA,NA,NA,1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81212,81212,131.3161,618.446528709786,81212,4736,4761,5460,3282,7214,11165,11133,11282,10409,7271,3358,1141,81212,60824,17402,209,392,0,774,1611,55759,7594,18304,16197,8948,3589,647,480,36030,33811,2219,59347,0.4359,869,18125,3047,15078,47152,5652,41500,33582,32185,29130,3055,42,66,0,245,185,859,28,76330,6227,70103,25108,56436
"27",1053,"05000US01053","Escambia County","Escambia County, Alabama","al",50,0,"ACSSF",39,NA,NA,NA,NA,1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37328,37328,39.49123,945.222603347969,37328,2122,2290,2491,1425,3035,4982,4802,4897,4808,3741,2077,658,37328,23095,11920,1437,135,72,232,437,25965,4792,11546,6340,2079,951,150,107,14077,12182,1895,35000,0.4823,587,8178,2772,5406,19925,4684,15241,11999,11825,10986,839,0,0,8,51,34,81,23,34533,5341,29192,13099,19963
"28",1055,"05000US01055","Etowah County","Etowah County, Alabama","al",50,0,"ACSSF",40,NA,NA,NA,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102939,102939,192.308,535.281874665056,102939,5793,6148,6210,4130,8663,12089,12948,14048,14033,11180,5755,1942,102939,82710,16212,751,739,66,751,1710,71995,11147,23665,24416,7837,3483,992,455,45312,42367,2945,44023,0.4483,669,21852,6556,15296,61399,9468,51931,41319,38958,35321,3637,86,37,35,346,211,1646,24,102146,10662,91484,41395,66066
"29",1057,"05000US01057","Fayette County","Fayette County, Alabama","al",50,0,"ACSSF",41,NA,NA,NA,NA,1,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16585,16585,26.42254,627.683723631152,16585,925,914,1036,687,1306,1899,1875,2179,2372,2014,1010,368,16585,14095,1978,0,108,6,0,398,11717,2060,4868,3273,1070,369,37,40,6863,6380,483,37458,0.4635,557,3462,1113,2349,9489,1769,7720,6296,6057,5407,650,0,0,0,84,25,130,28,16385,1446,14939,7651,10420
"30",1059,"05000US01059","Franklin County","Franklin County, Alabama","al",50,0,"ACSSF",42,NA,NA,NA,NA,1,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31542,31542,49.75718,633.918538618712,31542,2165,1851,2416,1374,2924,3993,3972,4039,3708,2957,1578,565,31542,26467,1388,488,119,0,2767,313,20812,4835,7666,5632,1624,850,90,115,13689,12849,840,40459,0.4224,572,7614,2623,4991,18541,3005,15536,12771,12282,10627,1655,26,0,0,100,193,170,29,31319,4005,27314,11794,19396
"31",1061,"05000US01061","Geneva County","Geneva County, Alabama","al",50,0,"ACSSF",43,NA,NA,NA,NA,1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26491,26491,46.11296,574.480548944628,26491,1445,1703,1681,1027,2037,2973,3116,3600,3757,2989,1724,439,26491,22871,2529,210,109,4,243,525,18598,3891,6924,5720,1298,685,77,3,10992,10047,945,38142,0.4413,615,5775,2255,3520,15415,3516,11899,9908,9409,8291,1118,3,20,12,61,232,171,28,26169,3586,22583,11689,14626
"32",1063,"05000US01063","Greene County","Greene County, Alabama","al",50,0,"ACSSF",44,NA,NA,NA,NA,1,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8426,8426,13.02272,647.023081188021,8426,490,537,488,347,731,1006,766,997,1348,954,560,202,8426,1445,6713,48,0,0,0,220,5833,1406,2149,1689,371,151,17,50,2619,2204,415,21804,0.5041,609,1835,1114,721,4836,1658,3178,2204,2074,1812,262,0,0,4,17,27,82,32,8371,956,7415,4817,3824
"33",1065,"05000US01065","Hale County","Hale County, Alabama","al",50,0,"ACSSF",45,NA,NA,NA,NA,1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14887,14887,23.11709,643.98254818169,14887,971,887,986,637,1335,1687,1630,1887,2150,1573,802,342,14887,5898,8748,29,39,0,101,72,10071,1647,4292,2711,936,308,135,42,5769,5083,686,30571,0.5071,510,3436,1206,2230,8631,2090,6541,4990,4766,4411,355,6,0,0,8,54,156,30,14649,1284,13365,7362,8094
